customer_id,age,monthly_income,loan_amount,credit_score,device_id,device_age_days,is_emulator,is_rooted,ip_address,ip_net_type,declared_city,ip_city,is_address_match,apply_hour,risk_label
C000887,20,13155.8,4428.09,408,D339A11312DE6,124,0,0,120.204.192,residential,昆明市,昆明市,1,19,normal
C003393,60,69035.01,192152.78,502,D7134608102F9,284,0,0,39.144.188,residential,广州市,广州市,1,8,normal
C003599,33,22109.41,16567.92,540,DF513CC3A3F79,219,0,0,113.54.121,residential,昆明市,昆明市,1,20,normal
C004039,34,14279.81,9205.49,666,DB5E5416049BE,217,0,0,120.204.23,residential,郑州市,郑州市,1,17,normal
C004303,25,36867.93,9118.67,555,DF7E95AB8D5A3,248,0,0,61.135.59,residential,上海市,上海市,1,13,normal
C005878,30,2222.59,156740.12,657,DC52CBED3E406,344,0,0,113.54.68,residential,深圳市,深圳市,1,20,normal
C006198,31,29192.69,4992.01,472,DD134D0209AA6,60,0,0,115.47.101,residential,合肥市,合肥市,1,20,normal
C009405,58,7077.46,6546.65,657,D45E174FB07B5,79,0,0,218.26.220,residential,合肥市,合肥市,1,17,normal
C009659,59,6085.8,1444.5,697,D327C3F35E9BE,284,0,0,211.138.55,residential,成都市,成都市,1,22,normal
C010655,31,6593.96,18769.64,475,DEA607B59CA9C,127,0,0,113.54.56,residential,上海市,北京市,0,20,normal
C010787,18,3402.56,1940.46,326,DB7C11977B705,50,0,0,218.26.0,residential,南京市,南京市,1,13,normal
C011747,43,41877.75,2160.6,659,D181A47BCC7AC,214,0,0,61.135.6,residential,南京市,南京市,1,16,normal
C012534,21,3618.74,222332.06,499,D004C2E5618CD,326,0,0,211.138.223,residential,苏州市,重庆市,0,10,normal
C012661,41,9755.22,20713.93,337,D5BA885BF67A2,252,0,0,39.144.231,residential,乌鲁木齐市,乌鲁木齐市,1,13,normal
C013069,44,45992.06,1551.75,760,D3B10CC145F6A,195,0,0,120.204.52,residential,武汉市,武汉市,1,17,normal
C013645,34,8790.51,47478.1,607,D5BCD38FF261A,259,0,0,61.135.186,residential,成都市,成都市,1,13,normal
C013808,34,7676.94,6379.26,793,DDFB5C39B7C41,284,0,0,119.32.142,residential,合肥市,合肥市,1,8,normal
C013847,42,10699.65,193194.28,694,DDB1FB14B2E2C,98,0,0,218.26.117,residential,苏州市,苏州市,1,21,normal
C015036,53,3472.61,1993.61,527,DA3B9CBF49AFE,213,0,0,119.32.39,residential,苏州市,苏州市,1,14,normal
C016855,47,64231.08,25074.83,471,D78D59C19A3EE,160,0,0,113.54.153,residential,杭州市,杭州市,1,8,normal
C018848,28,39442.18,144527.06,771,D94584F64B82D,57,0,0,223.104.132,residential,乌鲁木齐市,北京市,0,14,normal
C021014,48,13671.52,1030.52,716,D29240EF43F8A,277,0,0,119.32.209,residential,长沙市,长沙市,1,22,normal
C021516,52,9054.22,19535.13,447,D45B2D9322445,177,0,0,61.135.22,residential,厦门市,厦门市,1,0,identity_fraud
C021577,21,4810.48,1204.35,628,D67830518F654,41,0,0,115.47.73,residential,长沙市,长沙市,1,13,normal
C021991,20,2186.3,431356.22,531,D29E998FB5240,210,0,0,113.54.87,residential,杭州市,杭州市,1,18,normal
C023142,62,48300.17,86073.94,381,D0426CBC20742,104,0,0,223.104.74,residential,南京市,南京市,1,17,normal
C025998,62,7562.62,1798.06,530,DD697D0346DFC,182,0,0,115.47.101,residential,青岛市,青岛市,1,8,normal
C026881,25,2227.0,54433.37,340,D7C1D8AE53BE6,104,0,0,223.104.34,residential,成都市,成都市,1,16,normal
C028322,44,13267.2,25900.81,318,D4488396D8893,307,0,0,171.106.4,residential,合肥市,合肥市,1,17,normal
C029108,61,50333.93,17624.12,717,D75ABEE3EBE62,153,0,0,171.106.150,residential,郑州市,郑州市,1,22,normal
C029557,32,18099.59,16232.87,515,D5F7500F8FEE0,249,0,0,211.138.225,residential,苏州市,苏州市,1,9,normal
C029800,49,70034.38,179872.92,508,DA78B4653C28E,176,0,0,211.138.248,residential,青岛市,青岛市,1,10,normal
C030175,39,60715.14,122442.75,335,D110D612BEEC3,101,0,0,39.144.162,residential,西安市,西安市,1,16,normal
C030810,47,3559.38,18209.6,640,D6E134CD69002,219,0,0,218.26.179,residential,昆明市,昆明市,1,12,normal
C030898,64,4748.85,149779.23,802,D1B22188014EA,210,0,0,104.129.166,datacenter,北京市,北京市,1,3,gang_fraud
C031454,35,21794.11,2684.88,618,D47E1850803FB,343,0,0,223.104.193,residential,长沙市,长沙市,1,10,normal
C031471,66,3364.24,51178.87,696,DDEA3B2358325,250,0,0,113.54.120,residential,上海市,上海市,1,10,normal
C033096,43,21665.79,385956.23,765,DE0473BAEE10F,349,0,0,61.135.24,residential,长沙市,长沙市,1,18,normal
C033107,43,14505.03,20840.86,757,D81CB370FD141,66,0,0,211.138.9,residential,广州市,武汉市,0,17,normal
C035761,49,6350.32,4974.78,802,D6CD2CF8BE523,234,0,0,223.104.140,residential,上海市,上海市,1,11,normal
C036088,32,3932.06,91149.07,647,DF10C542721D0,178,0,0,119.32.171,residential,武汉市,武汉市,1,8,normal
C037164,58,39824.7,2416.55,379,D011461DFABFE,213,0,0,120.204.49,residential,厦门市,厦门市,1,19,normal
C037548,46,54605.48,1680.85,803,DE0134C26D531,309,0,0,218.26.218,residential,深圳市,深圳市,1,19,normal
C037561,42,30894.93,40233.0,617,D2A264DF638E4,292,0,0,115.47.151,residential,广州市,广州市,1,11,normal
C037591,56,54378.83,441562.23,318,D75BBCC17BCF0,252,0,0,211.138.177,residential,青岛市,青岛市,1,21,normal
C039093,41,22182.25,80639.85,397,DD2425C9859E4,103,0,0,223.104.160,residential,青岛市,昆明市,0,16,normal
