host_id,dept,role_level,seniority_days,os,work_mode,work_city,is_service_account,active_days,login_count,night_login_count,offsite_login_count,abnormal_login_count,failed_login_count,failed_login_night,mail_count,sus_link_click,download_count,download_mb,large_download_count,upload_mb,sus_upload_count,c2_heartbeat_count,sensitive_access_count,mfa_denied_count,scan_enum_count,script_exec_count,privesc_events,persist_events,lateral_events,cleanup_events,vpn_offsite_count,sus_domain_count,chain_phases,chain_stage_count,variant,risk_label
H000117,人力部,1,2448,Windows 10,office,北京市,0,18,17,0,0,0,13,0,21,0,6,87.3,0,6.8,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H000438,市场部,0,1988,Windows 10,office,深圳市,0,19,18,0,0,0,5,0,28,0,4,84.5,0,27.2,0,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
H000466,研发部,1,2836,Windows 10,office,成都市,0,18,15,2,0,0,9,3,32,0,2,65.6,0,29.6,0,0,0,0,0,0,0,0,0,1,0,0,,0,,normal
H000527,客服部,0,375,macOS,office,北京市,0,15,15,1,0,0,12,0,22,0,3,71.0,0,40.2,0,0,0,0,1,0,0,0,0,0,0,0,,0,,normal
H000559,人力部,2,1518,Windows 10,office,深圳市,0,11,11,0,0,0,7,0,19,0,1,17.9,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H000564,财务部,0,2569,macOS,office,北京市,0,15,14,0,0,0,11,0,27,0,2,16.9,0,17.4,0,0,1,0,0,0,0,0,0,0,0,0,,0,,normal
H000763,行政部,2,2427,Windows 10,office,北京市,0,18,17,2,0,0,15,0,32,0,7,138.2,0,10.3,0,0,0,0,1,0,0,0,0,0,4,0,,0,,normal
H000805,销售部,0,2918,macOS,office,北京市,0,22,22,0,0,0,22,3,36,0,6,156.7,0,51.8,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H000987,市场部,2,307,Windows 10,remote,天津市,0,19,19,2,19,0,9,1,20,0,3,37.4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001177,数据部,1,2630,Windows 11,office,北京市,0,18,18,0,0,0,7,0,35,0,7,141.1,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001235,财务部,0,1983,Windows 11,office,北京市,0,17,17,1,0,0,11,0,28,0,5,135.3,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,,0,,normal
H001269,研发部,0,1382,Ubuntu,office,北京市,0,22,21,0,0,0,24,3,30,0,8,138.3,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001402,财务部,0,1690,Windows 10,office,深圳市,0,22,22,1,0,0,16,0,43,0,5,120.1,0,350.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001419,人力部,0,1711,Ubuntu,office,上海市,0,22,21,0,0,0,17,3,27,0,8,218.7,0,20.1,0,0,0,0,0,0,0,0,1,0,0,0,,0,,normal
H001547,财务部,0,1754,Windows 10,remote,南京市,0,20,20,1,20,0,12,0,26,0,5,105.3,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001651,法务部,0,893,Ubuntu,office,北京市,0,10,10,0,0,0,11,0,16,0,3,40.8,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001668,运营部,2,550,Windows 10,office,深圳市,1,18,18,0,0,0,10,1,25,0,2,42.7,0,15.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
H001721,人力部,2,1340,Ubuntu,office,深圳市,0,19,19,2,0,0,14,5,27,0,8,121.4,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,,normal
