host_id,event_time,event_type,action,chain_phase,technique,variant,domain,bytes_kb,city,is_abnormal,peer_host
H006113,2026-07-01 00:25:11,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H006049,2026-07-01 02:11:12,upload,上传附件 3MB,,T1567,,docs.company.cn,12304,,,
H005767,2026-07-01 05:41:13,email_open,阅读邮件（内部往来 1）,,,,oa.company.cn,,,,
H002223,2026-07-01 06:42:22,login,登录办公终端,,T1078,,,,苏州市,,
H001269,2026-07-01 06:58:03,email_open,阅读邮件（内部往来 2）,,,,npm.company.cn,,,,
H004953,2026-07-01 07:01:41,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H009698,2026-07-01 07:26:58,email_open,阅读邮件（内部往来 3）,,,,wiki.company.cn,,,,
H003416,2026-07-01 07:32:47,login,登录办公终端,,T1078,,,,,,
H000438,2026-07-01 07:38:09,login,登录办公终端,,T1078,,,,,,
H003833,2026-07-01 07:45:01,web_visit,访问内部 OA/知识库,,T1071,,npm.company.cn,,,,
H003416,2026-07-01 07:49:54,email_open,阅读邮件（内部往来 3）,,,,docs.company.cn,,,,
H001796,2026-07-01 07:52:07,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004394,2026-07-01 07:53:28,login,登录办公终端,,T1078,,,,,,
H004724,2026-07-01 08:05:27,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H004724,2026-07-01 08:11:54,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H004146,2026-07-01 08:12:27,failed_login,密码错误自动重试,,T1110.001,,,,,,
H005767,2026-07-01 08:15:57,email_open,阅读邮件（内部往来 2）,,,,wiki.company.cn,,,,
H009170,2026-07-01 08:17:17,login,登录办公终端,,T1078,,,,,,
H003785,2026-07-01 08:18:21,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H003893,2026-07-01 08:24:06,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003893,2026-07-01 08:34:40,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004763,2026-07-01 08:37:44,login,登录办公终端,,T1078,,,,,,
H000438,2026-07-01 08:39:06,download,下载文档/更新包 27MB,,T1204.002,,,5047,,,
H003043,2026-07-01 08:44:08,upload,上传附件 8MB,,T1567,,docs.company.cn,10707,,,
H005767,2026-07-01 08:46:05,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H001721,2026-07-01 08:46:13,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H004956,2026-07-01 08:48:36,login,登录办公终端,,T1078,,,,,,
H007500,2026-07-01 08:51:36,dns_query,域名解析,,T1071.001,,mail.company.cn,,,,
H000559,2026-07-01 08:55:20,email_open,阅读邮件（内部往来 1）,,,,npm.company.cn,,,,
H006311,2026-07-01 08:55:52,email_open,阅读邮件（内部往来 1）,,,,mail.company.cn,,,,
H007500,2026-07-01 08:59:57,login,登录办公终端,,T1078,,,,,,
H009982,2026-07-01 09:01:58,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H007512,2026-07-01 09:03:12,download,下载来源不明安装包,,T1204.002,,img-cdn-helper.cn,9837,,,
H008154,2026-07-01 09:09:20,dns_query,域名解析,,T1071.001,,jd.com,,,,
H005220,2026-07-01 09:11:53,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H001721,2026-07-01 09:12:27,login,登录办公终端,,T1078,,,,,,
H003893,2026-07-01 09:14:31,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H004950,2026-07-01 09:16:50,download,下载文档/更新包 11MB,,T1204.002,,,37646,,,
H006311,2026-07-01 09:20:41,email_open,阅读邮件（内部往来 2）,,,,mail.company.cn,,,,
H001796,2026-07-01 09:21:58,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H000117,2026-07-01 09:23:24,email_open,阅读邮件（内部往来 1）,,,,docs.company.cn,,,,
H006049,2026-07-01 09:30:13,failed_login,密码错误自动重试,,T1110.001,,,,,,
H009691,2026-07-01 09:32:35,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H004394,2026-07-01 09:33:32,dns_query,域名解析,,T1071.001,,jd.com,,,,
H006566,2026-07-01 09:34:20,email_open,阅读邮件（内部往来 4）,,,,oa.company.cn,,,,
H004717,2026-07-01 09:37:23,login,登录办公终端,,T1078,,,,,,
H009979,2026-07-01 09:50:55,failed_login,密码错误自动重试,,T1110.001,,,,,,
H004775,2026-07-01 09:52:20,dns_query,域名解析,,T1071.001,,weibo.com,,,,
H000564,2026-07-01 09:52:33,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H009979,2026-07-01 09:59:12,web_visit,访问内部 OA/知识库,,T1071,,oa.company.cn,,,,
H004763,2026-07-01 10:01:43,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H004763,2026-07-01 10:04:41,email_open,阅读邮件（内部往来 1）,,,,wiki.company.cn,,,,
H004080,2026-07-01 10:04:54,login,登录办公终端,,T1078,,,,,,
H009535,2026-07-01 10:05:19,failed_login,密码错误自动重试,,T1110.001,,,,,,
H000117,2026-07-01 10:07:37,email_open,阅读邮件（内部往来 3）,,,,mail.company.cn,,,,
H000559,2026-07-01 10:13:02,download,下载文档/更新包 4MB,,T1204.002,,,18314,,,
H004717,2026-07-01 10:16:23,web_visit,访问内部 OA/知识库,,T1071,,wiki.company.cn,,,,
H001796,2026-07-01 10:19:01,dns_query,域名解析,,T1071.001,,taobao.com,,,,
H004394,2026-07-01 10:20:29,web_visit,访问内部 OA/知识库,,T1071,,docs.company.cn,,,,
H003043,2026-07-01 10:21:51,failed_login,密码错误自动重试,,T1110.001,,,,,,
H006566,2026-07-01 10:22:08,failed_login,密码错误自动重试,,T1110.001,,,,,,
H008871,2026-07-01 10:23:05,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H002907,2026-07-01 10:23:38,download,下载文档/更新包 3MB,,T1204.002,,,16098,,,
H001402,2026-07-01 10:26:10,web_visit,访问内部 OA/知识库,,T1071,,mail.company.cn,,,,
H004956,2026-07-01 10:27:01,web_visit,访问内部 OA/知识库,,T1071,,kb.company.cn,,,,
H006566,2026-07-01 10:32:54,email_open,阅读邮件（内部往来 1）,,,,kb.company.cn,,,,
H001796,2026-07-01 10:40:00,login,登录办公终端,,T1078,,,,,,
H005614,2026-07-01 10:41:33,login,登录办公终端,,T1078,,,,西安市,,
H006113,2026-07-01 10:43:19,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H006311,2026-07-01 10:46:23,failed_login,密码错误自动重试,,T1110.001,,,,,,
H003910,2026-07-01 10:49:50,dns_query,域名解析,,T1071.001,,baidu.com,,,,
H000117,2026-07-01 10:51:36,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H004146,2026-07-01 10:51:36,email_open,阅读邮件（内部往来 2）,,,,docs.company.cn,,,,
H008871,2026-07-01 10:52:28,failed_login,密码错误自动重试,,T1110.001,,,,,,
