policyholder_id,age,gender,city,occupation,policy_type,premium,coverage,issue_year,report_count,night_report_count,submit_count,visit_count,claim_pay_count,claim_pay_amount,reject_count,complaint_count,survey_count,policy_change_count,int_amount_count,invoice_verify_fail_count,multi_insurer_count,submit_without_visit,provider_count,first_claim_after_issue_days,fraud_phase_chain,fraud_phase_count,variant,risk_label
P000080,38,F,深圳市,自由职业,车险,3323,707094,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P000460,61,M,杭州市,无业,家财险,1218,489238,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P001619,48,F,上海市,教师,寿险,17093,467670,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P002743,44,F,上海市,个体经营,车险,7337,839513,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P004162,59,M,重庆市,无业,车险,3117,987556,2026,1,1,1,0,1,53160.0,0,0,1,1,0,0,0,1,1,233,cashout|fabricate|stage,3,evasive,ghost_claim
P006657,37,M,杭州市,无业,健康险,1390,716606,2024,1,0,1,1,1,4124.0,0,0,0,0,0,0,0,0,1,-1,,0,,normal
P008197,58,M,天津市,白领,健康险,2791,538726,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P008990,41,F,南京市,销售,车险,5920,813394,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P009791,48,M,上海市,工人,寿险,16214,1033947,2024,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P011166,55,M,南京市,白领,车险,2724,1485495,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P011643,33,M,南京市,个体经营,车险,2789,473267,2024,2,0,2,1,1,15942.0,1,0,1,1,1,1,0,1,2,242,cover|fabricate|stage,3,obvious,falsified_docs
P012149,46,F,武汉市,无业,寿险,9107,1042884,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P012907,47,F,重庆市,无业,家财险,805,139194,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P015117,56,M,杭州市,医护,健康险,836,381533,2025,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
P015581,40,F,天津市,白领,家财险,2041,461349,2025,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1,,0,,normal
P015859,36,M,成都市,白领,家财险,655,377455,2026,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1,,0,,normal
