policyholder_id,event_time,event_type,action,fraud_phase,variant,amount,provider,multi_insurer
P080697,2025-01-01 09:05:28,register,提交投保申请,,,,,
P037633,2025-01-01 13:04:44,register,提交投保申请,,,,,
P034190,2025-01-01 16:51:58,register,提交投保申请,,,,,
P009791,2025-01-03 11:32:52,register,提交投保申请,,,,,
P061832,2025-01-05 14:19:38,register,提交投保申请,,,,,
P034190,2025-01-05 16:51:58,premium_pay,缴纳保费 12375 元,,,12375,,
P037393,2025-01-07 09:03:32,register,提交投保申请,,,,,
P080697,2025-01-07 09:05:28,premium_pay,缴纳保费 2393 元,,,2393,,
P009791,2025-01-07 11:32:52,premium_pay,缴纳保费 16214 元,,,16214,,
P075245,2025-01-07 17:32:50,register,提交投保申请,,,,,
P001619,2025-01-08 11:26:05,register,提交投保申请,,,,,
P061832,2025-01-08 14:19:38,policy_issue,保单签发（健康险，保额 512040 元）,,,,,
P048335,2025-01-08 16:15:01,register,提交投保申请,,,,,
P060036,2025-01-08 20:47:16,register,提交投保申请,,,,,
P037393,2025-01-09 09:03:32,premium_pay,缴纳保费 8667 元,,,8667,,
P009791,2025-01-09 11:32:52,policy_issue,保单签发（寿险，保额 1033947 元）,,,,,
P037633,2025-01-09 13:04:44,premium_pay,缴纳保费 4887 元,,,4887,,
P037393,2025-01-10 09:03:32,policy_issue,保单签发（车险，保额 1409053 元）,,,,,
P080697,2025-01-10 09:05:28,policy_issue,保单签发（家财险，保额 256962 元）,,,,,
P059993,2025-01-10 13:29:46,register,投保申请（车险）,,,,,
P006657,2025-01-11 08:51:25,claim_report,出险报案,,,,,
P060036,2025-01-11 20:47:16,premium_pay,缴纳保费 4578 元,,,4578,,
P064202,2025-01-12 00:38:57,register,提交投保申请,,,,,
P006657,2025-01-12 08:51:25,medical_visit,就诊检查,,,,康宁诊所,
P075245,2025-01-12 17:32:50,policy_issue,保单签发（寿险，保额 1615188 元）,,,,,
P053150,2025-01-13 06:26:37,register,提交投保申请,,,,,
P035176,2025-01-13 07:55:05,register,提交投保申请,,,,,
P037633,2025-01-13 13:04:44,policy_issue,保单签发（健康险，保额 671025 元）,,,,,
P059993,2025-01-13 13:29:46,policy_issue,保单签发,,,,,
P053150,2025-01-14 06:26:37,premium_pay,缴纳保费 3241 元,,,3241,,
P061832,2025-01-14 14:19:38,premium_pay,缴纳保费 3517 元,,,3517,,
P076707,2025-01-14 14:24:50,register,提交投保申请,,,,,
P048335,2025-01-14 16:15:01,policy_issue,保单签发（健康险，保额 262309 元）,,,,,
P022969,2025-01-14 17:16:30,complaint,投诉理赔进度缓慢,,,,,
P095604,2025-01-15 10:27:47,register,提交投保申请,,,,,
P098201,2025-01-15 12:43:36,register,提交投保申请,,,,,
P034190,2025-01-15 16:51:58,policy_issue,保单签发（寿险，保额 485902 元）,,,,,
P075245,2025-01-15 17:32:50,premium_pay,缴纳保费 17574 元,,,17574,,
P053150,2025-01-17 06:26:37,policy_issue,保单签发（车险，保额 656486 元）,,,,,
P095604,2025-01-17 10:27:47,premium_pay,缴纳保费 978 元,,,978,,
P011643,2025-01-17 17:36:57,register,提交投保申请,,,,,
P012149,2025-01-18 06:45:11,register,提交投保申请,,,,,
P035176,2025-01-18 07:55:05,premium_pay,缴纳保费 583 元,,,583,,
P001619,2025-01-18 11:26:05,premium_pay,缴纳保费 17093 元,,,17093,,
